Model Year,Mfr Name,Division,Carline,Engine Displacement,Cylinder,Transmission,City FE ,Highway FE,Combined FE,Air Aspiration Method,Transmission Desc,Gears,Drive Desc,Fuel Usage Desc,Carline Class Desc
2015,Nissan,NISSAN,SENTRA,1.8,4,Manual,27,36,30,Naturally Aspirated,Manual,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Nissan,NISSAN,SENTRA FE+,1.8,4,Auto(AV),30,40,34,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Rolls-Royce,Rolls-Royce Motor Cars Limited,Wraith,6.6,12,Automatic,13,21,15,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Midsize Cars
2015,Subaru,Subaru,LEGACY,2.5,4,Auto(AV-S6),26,36,30,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),6,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Subaru,Subaru,LEGACY,3.6,6,Auto(AV-S6),20,29,23,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),6,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,AVALON,3.5,6,Auto(S6),21,31,24,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,AVALON HYBRID,2.5,4,Auto(AV-S6),40,39,40,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,CAMRY,2.5,4,Auto(S6),25,35,28,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,CAMRY,3.5,6,Auto(S6),21,31,25,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
2015,Toyota,TOYOTA,CAMRY HYBRID LE,2.5,4,Auto(AV),43,39,41,Naturally Aspirated,Continuously Variable,1,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Midsize Cars
